name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,sea food,coffe,delivery,burger shop,online order,City,Street
הבית מאכלים ביתיים מהטבע,8.4,671,מחיר זול,152,כשר,"התע""ש 23, כפר סבא",0,0,0,0,0,0,1,0,1,כפר סבא,"התע""ש 23"
המטבחון של סימה,8.2,664,מחיר זול,142,כשר,"גינות זבולון 2, מודיעין מכבים רעות",0,0,0,0,0,0,1,0,0,מודיעין מכבים רעות,גינות זבולון 2
מסעדת וואקמה,8.3,824,מחיר זול,522,מושגח ללא תעודה,"רוטשילד 45, ראשון לציון (G רוטשילד)",1,0,0,0,0,0,1,0,1,ראשון לציון (G רוטשילד),רוטשילד 45
מינה טומיי,8.5,1005,מחיר סביר,1154,לא כשר,"אלון עין שמר fashion, צומת כרכור",1,0,0,0,0,0,1,0,1,צומת כרכור,אלון עין שמר fashion
מסעדת הכוכב,8.4,27,ציון העסק 8.4,71,כשר,"חרושת 18, קרית ביאליק",0,0,1,0,0,0,0,0,0,קרית ביאליק,חרושת 18
פול באולינג,8,1843,ציון העסק 8,548,לא כשר,"דרך עכו חיפה 194, קרית ביאליק",0,0,0,0,0,1,0,0,0,קרית ביאליק,דרך עכו חיפה 194
שובולנה בית של אוכל,8.6,65,ציון העסק 8.6,332,לא כשר,"דרך המצפה 5, קציר",0,0,0,0,0,1,1,0,0,קציר,דרך המצפה 5
BBB,8.7,3421,מחיר סביר,1843,לא כשר,"חיל הנדסה 1, באר שבע (מרכז Max אמות)",0,0,1,0,0,0,1,1,1,באר שבע (מרכז Max אמות),חיל הנדסה 1
פורנטו פיצה בר,8.8,807,מחיר זול,503,לא כשר,גשר הזיו,0,1,0,0,0,0,1,0,0,גשר הזיו,
Taboon al basha,0,0,ציון העסק 8.9,0,לא כשר,ג'וליס,0,1,0,0,0,0,0,0,0,ג'וליס,
דרקון הזהב,8.3,598,מחיר זול,847,כשר,"שדרות העצמאות 67, בת ים",1,0,1,0,0,0,1,0,1,בת ים,שדרות העצמאות 67
ביגה,8,1479,מחיר סביר,245,כשר,"שלום עליכם 5, חיפה",0,1,0,0,0,1,1,0,1,חיפה,שלום עליכם 5
קפה לנדוור,8.1,1767,מחיר סביר,502,לא כשר,"אלון עין שמר fashion, צומת כרכור",0,1,0,0,0,1,1,0,1,צומת כרכור,אלון עין שמר fashion
הפינה בכפר נופך,0,28,מחיר סביר,0,כשר,"שוהם, נופך",0,0,1,0,0,0,1,0,1,נופך,שוהם
הפיצה המטיילת,8.8,414,מחיר סביר,218,כשר • פודטראק,מישגב,0,1,0,0,0,1,0,0,0,מישגב,
azkadunia,8.2,46,ציון העסק 8.2,66,לא כשר,טייבה,0,0,1,0,0,0,0,0,0,טייבה,
קפה חמד,8.3,302,מחיר זול,186,כשר,שדי חמד,0,1,0,0,0,1,1,0,1,שדי חמד,
קפה קפה,8.4,478,מחיר סביר,76,לא כשר,"754, כפר כנא",0,0,1,0,0,1,0,0,0,כפר כנא,754
BBB,8.2,2847,מחיר סביר,399,לא כשר,"קניון רננים, רעננה",0,0,1,0,0,0,1,1,1,רעננה,קניון רננים
יוקו,8.2,891,מחיר סביר,254,כשר,"קניון אורות, אור עקיבא",1,0,1,0,0,0,1,0,1,אור עקיבא,קניון אורות
קפה קפה,7.2,22,מחיר סביר,141,לא כשר,"נוטרדאם, מעיליא",0,0,1,0,0,1,0,0,0,מעיליא,נוטרדאם
המקסיקני,7.4,521,מחיר סביר,119,כשר,"אוניברסיטת בן גוריון בנגב, באר שבע",0,0,0,0,0,0,0,0,0,באר שבע,אוניברסיטת בן גוריון בנגב
POP & POPE,9.1,746,ציון העסק 9.1,1658,לא כשר,"הארבעה 30, תל אביב יפו",1,0,0,0,0,0,0,0,1,תל אביב יפו,הארבעה 30
מפגש דקר,9.1,539,מחיר זול,672,כשר,"סמטת ויצ""ו 1, בית שמש",0,0,1,0,0,0,0,0,0,בית שמש,"סמטת ויצ""ו 1"
רוזנברג,8.4,4877,מחיר סביר,628,לא כשר,"משכית 32, הרצליה (מרכזים 2001)",0,0,1,1,1,0,1,1,1,הרצליה (מרכזים 2001),משכית 32
בשורה,8.5,9,ציון העסק 8.5,283,כשר,"החרושת 15, כרמיאל (קניון גן העיר)",0,0,1,0,0,0,0,0,0,כרמיאל (קניון גן העיר),החרושת 15
מאיליס,8.5,589,מחיר סביר,1074,כשר,"מרינה אשקלון, אשקלון",0,1,0,0,0,1,1,0,0,אשקלון,מרינה אשקלון
חומוס פלאפל אוסול,8.5,15,ציון העסק 8.5,303,כשר,"דלק, שלומי",0,0,0,0,0,0,0,0,0,שלומי,דלק
באפלו,8.7,1161,מחיר סביר,1318,כשר,"ויצמן 40, כפר סבא",0,0,1,0,0,0,1,1,1,כפר סבא,ויצמן 40
K קפה אצל קובי בכפר,7,16,ציון העסק 7,438,לא כשר,"פרץ ברנשטיין 7, רמת גן",0,0,1,0,0,0,1,0,0,רמת גן,פרץ ברנשטיין 7
הפסטה שף,8.5,69,ציון העסק 8.5,884,כשר,"שדרות דוד המלך 17, לוד",0,1,0,0,0,0,1,0,0,לוד,שדרות דוד המלך 17
מרגליות,0,2,ציון העסק 8.4,0,כשר,"דרך המרכז, כוכב יאיר צור יגאל",0,0,0,0,0,0,0,0,0,כוכב יאיר צור יגאל,דרך המרכז
דיינר מקום של בשר,8.4,712,מחיר סביר,1479,לא כשר,"הרקון 2, הוד השרון (מיקס שרונים)",0,0,1,0,0,0,1,1,1,הוד השרון (מיקס שרונים),הרקון 2
סבא ג'בטו,8.8,3321,מחיר סביר,651,מושגח ללא תעודה,"התקווה 8, באר שבע",0,0,0,0,0,1,1,0,1,באר שבע,התקווה 8
Baku,7.4,26,מחיר סביר,167,לא כשר,"יפת 246, תל אביב יפו",0,0,0,0,0,0,0,0,0,תל אביב יפו,יפת 246
המחמסים,9.2,890,מחיר זול,591,כשר,"אלי כהן 21, אשקלון",0,0,0,0,0,0,1,0,1,אשקלון,אלי כהן 21
I way סנדוויץ' בר,0,1,דירוג 8,0,כשר,"שדרות משה שרת 4, קרית ים",0,0,1,0,0,0,1,0,1,קרית ים,שדרות משה שרת 4
פפינו פיצה בר,7.9,21,ציון העסק 7.9,417,לא כשר,עין קנייא,0,1,0,0,0,0,0,0,0,עין קנייא,
סיפורו של שניצל,8.5,341,ציון העסק 8.5,354,כשר,"רינגלבלום 2, באר שבע",0,0,0,0,0,0,1,0,1,באר שבע,רינגלבלום 2
אושי אושי,7.8,722,מחיר סביר,311,כשר,"קניון סי מול, אשדוד",1,0,1,0,0,0,1,0,1,אשדוד,קניון סי מול
בלאק בר בורגר,8.1,2170,מחיר סביר,493,לא כשר,"סינמה סיטי גלילות, רמת השרון",0,0,1,0,0,0,1,1,1,רמת השרון,סינמה סיטי גלילות
אלמנסף,8.7,450,מחיר זול,128,לא כשר,יאנוח ג'ת,0,0,0,0,0,0,0,0,0,יאנוח ג'ת,
HOT MEAT,0,4,0,0,כשר,"עליית הנוער 3, אשקלון",0,0,1,0,0,0,1,0,0,אשקלון,עליית הנוער 3
ארקפה,8.3,1534,מחיר סביר,293,כשר,"אבי ואביב 3, אור יהודה",0,1,0,0,0,1,1,0,1,אור יהודה,אבי ואביב 3
בלו בס העמק,8.6,539,מחיר זול,166,כשר,"צומת ברוך, אזור העמקים",0,0,0,0,0,0,0,0,0,אזור העמקים,צומת ברוך
שווארמה חג' כחיל,7.8,534,מחיר סביר,891,לא כשר,"נחום גולדמן 12, תל אביב יפו",0,0,1,0,0,0,1,0,1,תל אביב יפו,נחום גולדמן 12
פיצה צ'יז,8.7,880,ציון העסק 8.7,878,כשר,"עמק דותן 66, מודיעין מכבים רעות (מרכז מסחרי מרל""ז)",0,0,0,0,0,0,1,0,1,"מודיעין מכבים רעות (מרכז מסחרי מרל""ז)",עמק דותן 66
שיפודי ציפורה,0,3,מחיר סביר,0,לא כשר,"הרפואה 7, אשדוד",0,0,1,0,0,0,0,0,0,אשדוד,הרפואה 7
קפה קפה,8,1277,מחיר סביר,306,לא כשר,"שדרות אח""י אילת 55, חיפה",0,1,1,0,0,1,0,0,0,חיפה,"שדרות אח""י אילת 55"
וואסבי סושי,7.1,90,מחיר סביר,111,לא כשר,"הרצל 84, ראשון לציון",1,0,0,0,0,0,1,0,1,ראשון לציון,הרצל 84
סולת קוסקוס בעתיקה,8.5,315,מחיר זול,477,כשר,"העצמאות 1, באר שבע",0,0,1,0,0,0,1,0,1,באר שבע,העצמאות 1
אושי אושי,8.1,1057,מחיר סביר,479,כשר,"קניון חולון, חולון",1,0,1,0,0,0,1,0,1,חולון,קניון חולון
ג'וליה אוכל ביתי,0,0,0,0,לא כשר,נורדיה,0,0,0,0,0,0,0,0,0,נורדיה,
מיסטר פיצה,8.7,223,מחיר זול,382,כשר,"שדרות הגעתון 43, נהריה",0,1,0,0,0,0,1,0,0,נהריה,שדרות הגעתון 43
רק מרק נס ציונה,8.4,203,מחיר סביר,60,כשר,"הפטיש 6, נס ציונה (ישפרו סנטר)",0,0,0,0,0,0,1,0,1,נס ציונה (ישפרו סנטר),הפטיש 6
Karols,0,0,0,0,לא כשר,"דרך הציונות 79, אריאל",0,0,0,0,0,0,0,0,0,אריאל,דרך הציונות 79
ג'פניקה,8,538,מחיר סביר,354,לא כשר,"הטחנה 1, כפר סבא",1,0,0,0,0,0,1,0,1,כפר סבא,הטחנה 1
ארליך,8.6,1318,מחיר זול,339,כשר,"אפעל 18, פתח תקווה",0,0,1,0,0,0,1,0,0,פתח תקווה,אפעל 18
רובן,8.2,56,מחיר סביר,613,כשר,"ביג קריות, חיפה",0,0,1,0,0,0,1,1,1,חיפה,ביג קריות
מאנצ'ס אריאל,8.3,2082,מחיר סביר,1319,כשר,"המלאכה 2, אריאל",1,0,1,1,0,0,1,1,0,אריאל,המלאכה 2
סושי במושבה,8.4,10305,מחיר סביר,298,לא כשר,"מוטה גור 9, פתח תקווה",1,0,0,0,0,0,1,0,1,פתח תקווה,מוטה גור 9
פיצה פרגו יפו,8.5,80,מחיר זול,245,כשר,"הלוחמים 62, חולון (קניון וולפסון)",0,1,0,0,0,0,1,0,1,חולון (קניון וולפסון),הלוחמים 62
קה סרה,0,0,0,0,לא כשר,"אלונים 67, קרית טבעון",0,0,0,0,0,0,0,0,0,קרית טבעון,אלונים 67
קפה קפה,7.1,1830,מחיר סביר,225,כשר,"חוף סירונית א', נתניה",0,0,0,0,0,1,1,0,1,נתניה,חוף סירונית א'
גוג'ו מאכלים אתיופיים,9.1,1964,מחיר סביר,624,כשר,"ישראל טלר 32, רחובות",0,0,0,0,0,0,1,0,1,רחובות,ישראל טלר 32
צ'יצ'ו גריל ישראלי,8.2,523,מחיר זול,109,כשר,"כצנלסון 42, גבעתיים",0,0,1,0,0,0,1,0,1,גבעתיים,כצנלסון 42
Siran,8.5,480,מחיר סביר,222,לא כשר,"בן עמי 13, עכו",0,0,0,0,0,1,0,0,0,עכו,בן עמי 13
זמן בשר,8.9,163,ציון העסק 8.9,702,כשר,דבורה,0,0,1,0,0,0,0,1,0,דבורה,
טעם של פעם,6.7,26,ציון העסק 6.7,106,לא כשר,"אזור תעשייה, ירכא",0,0,1,0,0,0,0,0,0,ירכא,אזור תעשייה
הבגט של הפרסי,8.5,30,ציון העסק 8.5,293,כשר,"הלסינקי 1, שדרות",0,0,1,0,0,0,1,0,0,שדרות,הלסינקי 1
ג'ויה,8.2,230,מחיר סביר,1182,לא כשר,"מתתיהו הכהן 1, מודיעין מכבים רעות",0,1,0,0,0,0,1,0,1,מודיעין מכבים רעות,מתתיהו הכהן 1
קפה לנדוור,7.7,1340,מחיר סביר,310,כשר,"טרמינל סנטר, אור יהודה",0,0,0,0,0,1,1,0,1,אור יהודה,טרמינל סנטר
אום כולתום,8.6,2300,מחיר סביר,335,לא כשר,"שדרות מוריה 60, חיפה",0,0,0,0,0,0,1,0,1,חיפה,שדרות מוריה 60
ריף חוף דלילה אשקלון,0,11,0,0,לא כשר,"חוף דלילה, אשקלון",0,0,0,0,0,0,0,0,0,אשקלון,חוף דלילה
ג'ויה,8,6499,מחיר סביר,820,לא כשר,"אריה שנקר 9, הרצליה (בית נולטון)",0,1,0,0,0,0,1,0,1,הרצליה (בית נולטון),אריה שנקר 9
בדרה,9.1,1718,מחיר זול,632,כשר,"הרצל 173, רחובות",0,0,0,0,0,0,1,0,1,רחובות,הרצל 173
קפה גרג,7.6,1402,מחיר סביר,112,לא כשר,"החרושת 8, חיפה",0,0,0,0,0,1,0,0,0,חיפה,החרושת 8
ג'וני בורגר,8.3,13,ציון העסק 8.3,176,מושגח ללא תעודה,"שדרת המורים, ניר יפה",0,0,1,0,0,0,1,1,0,ניר יפה,שדרת המורים
חומוס אבו מאהר,8.7,218,מחיר זול,136,לא כשר,"שוק עירוני, כפר יאסיף",0,0,1,0,0,0,1,0,0,כפר יאסיף,שוק עירוני
ביגה,7.2,120,מחיר סביר,216,כשר,"קניון מלחה, ירושלים",0,1,0,0,0,1,1,0,1,ירושלים,קניון מלחה
Tiktok grillbar,8.5,140,מחיר סביר,301,כשר,"א.ד. גורדון, קרית ים",0,0,1,0,0,0,1,0,0,קרית ים,א.ד. גורדון
שרונה קונדיטוריה,8.8,68,ציון העסק 8.8,1049,כשר,"ספיר 1, ספסופה",0,0,0,0,0,1,0,0,0,ספסופה,ספיר 1
בורגרס בר,8,22,מחיר סביר,341,כשר,"בעלי המלאכה 3, נתיבות",0,0,1,0,0,0,1,1,1,נתיבות,בעלי המלאכה 3
עגבניה,7.3,347,מחיר סביר,192,כשר,"מרינה אשקלון, אשקלון",0,1,0,0,0,0,1,0,1,אשקלון,מרינה אשקלון
מילוס בני ברק,8.3,33,ציון העסק 8.3,57,כשר,"דרך זאב ז'בוטינסקי 134, בני ברק",0,1,0,0,0,0,1,0,1,בני ברק,דרך זאב ז'בוטינסקי 134
הנשיא 1,9,3153,מחיר סביר,2233,לא כשר,"הנשיא 1, אשקלון",0,0,1,0,0,0,0,1,0,אשקלון,הנשיא 1
TREE Brasserie,8.9,4297,מחיר סביר,2611,לא כשר,"הרצל 194, רחובות",0,1,0,0,1,1,1,0,0,רחובות,הרצל 194
נגיסה,8,3363,מחיר סביר,512,כשר,"התע""ש 14, כפר סבא",1,0,0,0,0,0,1,0,1,כפר סבא,"התע""ש 14"
צ'וקה,7.2,544,מחיר סביר,145,כשר,"שלמה המלך 37, קרית אונו (מרכז מסחרי קיראון)",1,0,0,0,0,0,1,0,1,קרית אונו (מרכז מסחרי קיראון),שלמה המלך 37
צ'או ciao,0,7,0,0,לא כשר,"הברזל 4, תל אביב יפו",0,1,0,1,0,0,0,0,0,תל אביב יפו,הברזל 4
Meejana lounge,8.1,38,מחיר סביר,73,לא כשר,"עמר בן אלעס 6, ירושלים",0,0,0,0,0,0,0,0,0,ירושלים,עמר בן אלעס 6
ג'פטו בר,8.2,827,מחיר סביר,767,כשר,"השדרה המרכזית 15, מודיעין מכבים רעות (ליגד סנטר 1)",0,1,0,0,0,0,1,0,1,מודיעין מכבים רעות (ליגד סנטר 1),השדרה המרכזית 15
סימונה קפה בר מדברי,0,3,0,0,כשר,דימונה,0,1,0,0,0,1,0,0,0,דימונה,
דיאנא,8.1,1568,מחיר סביר,192,לא כשר,"פאולוס השישי 51, נצרת",0,0,1,0,0,0,0,0,0,נצרת,פאולוס השישי 51
סביח אל חיר,8,278,מחיר זול,143,כשר,"הגדוד העברי 1, חדרה",0,0,0,0,0,0,1,0,1,חדרה,הגדוד העברי 1
גרליק פיצה,8.5,882,מחיר סביר,230,לא כשר,"אבנר בן נר 1, נס ציונה",0,1,0,0,0,0,1,0,1,נס ציונה,אבנר בן נר 1
Moses Shop,8.4,85,מחיר סביר,552,לא כשר,"יגאל אלון 22, ראש העין (שפיר סנטר)",0,0,1,0,0,0,1,1,1,ראש העין (שפיר סנטר),יגאל אלון 22
פינטה,8.8,3231,מחיר סביר,501,לא כשר,"הבנאים 1, אשדוד",0,0,0,0,0,0,1,0,1,אשדוד,הבנאים 1
שיטאקי,7.8,275,מחיר סביר,341,כשר,"ירושלים 53, צפת",1,0,0,0,0,0,1,0,0,צפת,ירושלים 53
טורו גריל,8.8,804,מחיר סביר,1044,כשר,"דוד סחרוב 20, ראשון לציון",0,0,1,0,0,0,1,0,1,ראשון לציון,דוד סחרוב 20
גרקו,8.7,8612,מחיר סביר,1442,לא כשר,"שדרות אבא אבן 9, הרצליה",0,0,0,0,0,0,1,0,1,הרצליה,שדרות אבא אבן 9
HONO SUSHI&WOK,0,4,0,0,כשר,"המשביר 1, חולון (פרימיום סנטר)",1,0,0,0,0,0,1,0,1,חולון (פרימיום סנטר),המשביר 1
בית הסטייק,8.3,602,מחיר זול,403,כשר,"התעשייה 15, נשר",0,0,1,0,0,0,1,0,0,נשר,התעשייה 15
המטבח של אמירה,8.5,14,ציון העסק 8.5,329,כשר,דאלית אל כרמל,0,0,0,0,0,0,0,0,0,דאלית אל כרמל,
סבא שמחה,8.9,730,מחיר זול,401,כשר,"הרצל 27, שדרות",0,1,0,0,0,1,0,0,0,שדרות,הרצל 27
נאפורה,8.9,831,מחיר סביר,243,לא כשר,"הפטריארכיה הלטינית 18, ירושלים",0,0,0,0,0,0,1,0,0,ירושלים,הפטריארכיה הלטינית 18
בלו בס חומוס פול,8.5,599,מחיר זול,442,כשר,"מתחם נופית החרמון, קרית שמונה",0,0,0,0,0,0,1,0,0,קרית שמונה,מתחם נופית החרמון
רוזה,8.7,3524,מחיר סביר,1023,כשר,"שדרות המלאכות 16, מודיעין מכבים רעות",0,0,1,0,0,0,1,0,1,מודיעין מכבים רעות,שדרות המלאכות 16
שאלתיאלי,8.6,2072,מחיר סביר,1224,כשר,"יוחאי בן נון 6, חיפה",1,0,1,1,1,0,0,0,1,חיפה,יוחאי בן נון 6
פסטה פיורי,8.3,541,מחיר סביר,334,לא כשר,"ויצמן 125, כפר סבא",0,1,0,0,0,0,1,0,1,כפר סבא,ויצמן 125
מינה טומיי,8.6,10622,מחיר סביר,1241,לא כשר,"הארבעה 17, תל אביב יפו",1,0,0,0,0,0,1,0,1,תל אביב יפו,הארבעה 17
פסטו Pesto,8.1,1961,מחיר סביר,235,כשר,"הל""ה 26, ירושלים",0,1,0,0,0,1,1,0,1,ירושלים,"הל""ה 26"
עלינא,8.1,317,מחיר זול,682,כשר,"הרצל 36, ראשון לציון",0,0,1,1,0,0,1,0,1,ראשון לציון,הרצל 36
Coach Sport & Gaming Bar,8.4,31,ציון העסק 8.4,967,לא כשר,"מוטה גור 5, פתח תקווה",0,0,0,0,0,0,0,1,0,פתח תקווה,מוטה גור 5
קפה גרג,0,10,מחיר סביר,0,כשר,"דרך ארץ 1, חריש",0,1,0,0,0,1,0,0,0,חריש,דרך ארץ 1
שיפודי גגו,8.5,14,ציון העסק 8.5,733,כשר,"צה""ל 195, חצור הגלילית",0,0,1,0,0,0,1,0,0,חצור הגלילית,"צה""ל 195"
בזיליקום,8.5,19,מחיר זול,928,כשר,"בן גוריון 559, חצור הגלילית",0,1,0,0,0,0,1,0,1,חצור הגלילית,בן גוריון 559
ריבורגר,8.4,61,ציון העסק 8.4,149,לא כשר,"שכונת סידנא אבו עבדאללה, דאלית אל כרמל",0,0,1,0,0,1,1,1,0,דאלית אל כרמל,שכונת סידנא אבו עבדאללה
חומוס העם,8.7,566,מחיר זול,179,כשר,"נחלת יצחק 28, תל אביב יפו",0,0,0,0,0,0,1,0,1,תל אביב יפו,נחלת יצחק 28
קופי טו יו,7.8,323,מחיר זול,161,כשר,"מוטה גור 9, פתח תקווה",0,1,0,0,0,1,0,0,0,פתח תקווה,מוטה גור 9
אשר ויוסף,8.5,265,מחיר סביר,687,כשר,"יוסף קלויזנר 10, רמלה",0,0,1,0,0,0,1,0,1,רמלה,יוסף קלויזנר 10
אבו חסן,7.1,15,ציון העסק 7.1,214,לא כשר,טירה,0,0,0,0,0,0,0,0,0,טירה,
JC Diner,8.3,19,ציון העסק 8.3,171,לא כשר,עין קנייא,0,0,0,0,0,0,1,0,0,עין קנייא,
פיצה מיכאל אנג'לו,0,18,0,0,כשר,"מרכז מסחרי, אחוזת ברק",0,1,0,0,0,0,0,0,1,אחוזת ברק,מרכז מסחרי
שולחן מלכים,0,3,0,0,כשר,"קניון הבאר, ראשון לציון",0,0,1,0,0,0,0,0,0,ראשון לציון,קניון הבאר
Yakitori,0,53,מחיר זול,0,לא כשר,"בן יהודה 9, שדרות",1,0,0,0,0,0,1,0,0,שדרות,בן יהודה 9
קפה פולה,8.5,3664,מחיר סביר,639,לא כשר,"רוטשילד 126, ראשון לציון",0,0,0,0,0,1,1,0,1,ראשון לציון,רוטשילד 126
קאיפוייה,8.3,16,ציון העסק 8.3,310,כשר,"הציונות 9, אשדוד",0,1,0,0,0,0,0,0,0,אשדוד,הציונות 9
סבסטיאן,8.5,13025,מחיר סביר,1674,לא כשר,"משכית 33, הרצליה",0,0,0,0,0,0,1,0,1,הרצליה,משכית 33
אצה,8.6,1997,מחיר סביר,600,כשר,"העצמאות 65, פתח תקווה (קניון גנים פתח תקווה)",1,0,0,0,0,0,1,0,1,פתח תקווה (קניון גנים פתח תקווה),העצמאות 65
בורגרס בר,0,9,מחיר סביר,0,לא כשר,"גנרל פייר קניג 26, ירושלים (קניון הדר)",0,0,1,0,0,0,1,1,1,ירושלים (קניון הדר),גנרל פייר קניג 26
אותנטבעי,8.4,112,ציון העסק 8.4,29,כשר,"הפועלים 16, דימונה",0,0,0,0,0,0,1,0,0,דימונה,הפועלים 16
סושי אין בוקס,7.4,72,ציון העסק 7.4,453,כשר,"אודם, חריש",1,1,0,0,0,0,1,0,1,חריש,אודם
פרנג'ליקו,7.9,2315,מחיר סביר,280,לא כשר,"קניון סינמול, חיפה",1,0,0,0,0,0,1,0,1,חיפה,קניון סינמול
מפגש קרוואן,7.3,1646,מחיר סביר,90,חלאל,"כביש השלום 27, אבו גוש",0,0,0,0,1,0,0,0,1,אבו גוש,כביש השלום 27
Sushi show,8.4,137,ציון העסק 8.4,743,משלוחים בלבד,"הצנחנים 8, רמלה",1,0,0,0,0,0,1,0,0,רמלה,הצנחנים 8
החלה,8.6,14,ציון העסק 8.6,453,לא כשר,"שוק עירוני, באר שבע",0,0,1,0,0,0,1,1,1,באר שבע,שוק עירוני
מןטןטן,8.4,1751,מחיר יקר,1052,לא כשר,"נחלת בנימין 57, תל אביב יפו",1,0,0,0,0,0,1,0,1,תל אביב יפו,נחלת בנימין 57
קפה בגדד,7.4,448,מחיר סביר,204,כשר,"ירושלים 61, צפת",0,1,0,0,0,1,0,0,0,צפת,ירושלים 61
מסעדת BBB,8,3473,מחיר סביר,1001,לא כשר,"יגאל אלון 96, תל אביב יפו (בית אמפא)",0,0,1,0,0,0,1,1,1,תל אביב יפו (בית אמפא),יגאל אלון 96
MEXICANO,0,3,0,0,לא כשר,"שדרות דוד בן גוריון 9, קרית מלאכי",0,0,0,0,0,0,0,0,0,קרית מלאכי,שדרות דוד בן גוריון 9
אל גאוצ'ו,8.7,2062,מחיר יקר,827,כשר,"שדרות עובד בן עמי 2, נתניה",0,0,1,0,0,0,1,0,1,נתניה,שדרות עובד בן עמי 2
יקב כביר,0,17,0,0,כשר,אלון מורה,0,1,0,0,0,0,0,0,0,אלון מורה,
קומפנייא,8.5,4759,מחיר זול,403,כשר,"אריק איינשטיין, הרצליה",0,0,0,0,0,0,1,0,1,הרצליה,אריק איינשטיין
חן הטוניסאי,8.8,1012,מחיר סביר,327,כשר,"משה בקר 35, ראשון לציון",0,0,1,0,0,0,1,0,1,ראשון לציון,משה בקר 35
המטבח של אמא,8.7,255,מחיר זול,234,כשר,"יחזקאל קזז 12, אור יהודה",0,0,0,0,0,0,0,0,0,אור יהודה,יחזקאל קזז 12
מסעדת אבו ענאן,0,10,0,0,לא כשר,חורפיש,0,0,1,0,1,0,0,0,0,חורפיש,
הקוסקוס של רותם,7.5,23,ציון העסק 7.5,157,לא כשר,"דרך הדרום 9, קרית גת",0,0,0,0,0,0,0,0,0,קרית גת,דרך הדרום 9
פוראמה,7.8,607,מחיר סביר,330,לא כשר,"אורט 26, אשקלון",1,0,0,0,0,0,0,0,0,אשקלון,אורט 26
Tandi undefined kitchen,0,54,מחיר סביר,0,לא כשר,"דם המכבים 32, מודיעין מכבים רעות",0,0,0,0,0,0,1,0,1,מודיעין מכבים רעות,דם המכבים 32
צ'וקה,7.6,1246,מחיר סביר,543,כשר,"קניון לב אפק, ראש העין",1,0,0,0,0,0,1,0,1,ראש העין,קניון לב אפק
השבע,7.8,1082,מחיר סביר,1590,כשר,"הבנאים 4, אשדוד",0,0,0,0,0,0,1,0,1,אשדוד,הבנאים 4
מסעדת דהב,0,1,0,0,לא כשר,עראבה,0,0,0,0,0,0,0,0,0,עראבה,
הספריה,8.8,4965,מחיר זול,1648,לא כשר,"מבנה באר שבע, באר שבע",0,0,1,0,0,0,1,0,1,באר שבע,מבנה באר שבע
מרלן,8.7,2731,מחיר סביר,1035,לא כשר,"רמב""ם 30, גבעתיים",0,0,0,0,0,0,1,1,1,גבעתיים,"רמב""ם 30"
טברנה בר,0,3,ציון העסק 8.6,0,לא כשר,שער העמקים,0,0,0,1,0,0,0,1,0,שער העמקים,
אביקו אוכל רחוב,0,0,ציון העסק 7.5,0,כשר,"הקליטה 1, אשדוד",0,0,1,1,0,0,0,0,0,אשדוד,הקליטה 1
טאיזו,8.9,9457,מחיר יקר,1212,לא כשר,"דרך מנחם בגין 23, תל אביב יפו",1,0,0,0,0,0,1,0,1,תל אביב יפו,דרך מנחם בגין 23
חומוס הבוטקה,0,54,0,0,כשר,"קניון שער הצפון, קרית אתא",0,0,0,0,0,0,1,0,0,קרית אתא,קניון שער הצפון
קפה פסטורלי,8.2,3365,מחיר זול,27,כשר,"יהונתן נתניהו 5, אור יהודה",0,1,1,0,0,1,0,0,0,אור יהודה,יהונתן נתניהו 5
הבקתה,0,1,ציון העסק 7.9,0,לא כשר,שער העמקים,0,0,1,0,0,0,0,0,0,שער העמקים,
גשן,8.7,3210,ציון העסק 8.7,1129,כשר,"נחלת בנימין 30, תל אביב יפו",0,0,1,0,0,0,0,0,1,תל אביב יפו,נחלת בנימין 30
דור אלון,8.4,679,מחיר זול,123,לא כשר,להבות חביבה,0,0,0,0,0,1,0,0,0,להבות חביבה,
יפו תל אביב,8.2,4533,מחיר יקר,661,לא כשר,"יגאל אלון 98, תל אביב יפו (בניין אלקטרה)",0,0,0,0,0,0,0,0,1,תל אביב יפו (בניין אלקטרה),יגאל אלון 98
באגט הרכבת,8.5,391,ציון העסק 8.5,744,כשר,"גנרל פייר קניג 30, ירושלים",0,0,1,0,0,0,0,0,0,ירושלים,גנרל פייר קניג 30
יפהל'ה,8.5,407,מחיר סביר,177,כשר,"מעשה חושב 6, ירושלים",0,0,1,0,0,0,1,0,1,ירושלים,מעשה חושב 6
קסיס,7.9,3418,מחיר סביר,271,לא כשר,"חוף גבעת עליה, תל אביב יפו",0,0,0,1,1,0,1,0,1,תל אביב יפו,חוף גבעת עליה
סטלה ביץ',7.9,3627,מחיר סביר,297,לא כשר,"דרך בן גוריון 83, בת ים",0,0,1,1,1,0,1,1,0,בת ים,דרך בן גוריון 83
נאפיס,9,6166,מחיר זול,2721,לא כשר,"בוסי סנט ג'ורג', קרית עקרון",1,1,0,1,0,0,0,1,1,קרית עקרון,בוסי סנט ג'ורג'
על האש שלי,0,0,ציון העסק 7.9,0,לא כשר,ביתר עילית,0,0,1,0,0,0,0,0,0,ביתר עילית,
מאור השמן,8,31,ציון העסק 8,94,כשר,"דוד סלינג'ר 4, קרית שמונה",0,0,1,0,0,0,0,0,0,קרית שמונה,דוד סלינג'ר 4
